CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
16784,99.6,99.6,99.6,96,6,0,0,41,41.4,3, 6,2,2,2,2,4, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,36.6, 2,  5,99.6,0,2,0,0,1,1,1,6, 2
16785,99.6,99.6,99.6,96,6,0,1,28,28.4,2, 3,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,7,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16786,99.6,99.6,99.6,96,6,0,0,59,59.8,5, 9,0,2,1,2,4, 3, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,35.5,96, 25,99.6,0,2,0,0,1,1,2,6, 2
16787,99.6,99.6,99.6,96,6,0,0,69,69.6,6,11,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,24.9,96, 45,99.6,0,0,0,4,2,3,2,6, 4
16788,99.6,99.6,99.6,96,6,0,0,69,69.2,6,11,0,0,1,6,1, 1, 3,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,40.0,27.8,19.7,99.6, 1,6,1,3,6,2,4,96,96,28.7,96, 40,99.6,0,0,0,3,2,3,2,6, 3
16789,99.6,99.6,99.6,96,6,0,0,39,39.6,3, 5,2,2,3,2,4, 3, 1,2,1,2,1,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,97, 5,26.7,96, 13,99.6,0,2,0,0,1,1,1,6, 2
16790,99.6,99.6,99.6,96,6,0,0,69,69.2,6,11,0,1,1,2,3, 4, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,21.3,96, 48,99.6,0,1,0,2,2,3,1,6, 3
16791,99.6,99.6,99.6,96,6,1,0,67,67.3,6,11,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.8,99.6,31.5,21.5,99.8, 1,2,1,1,1,6,6,33,22,37.3,96, 30,99.6,0,0,0,2,2,3,2,6, 4
16792,99.6,99.6,99.6,96,6,1,0,53,53.7,4, 8,0,0,1,6,1, 1, 4,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96, 5,25.1,96, 29,99.6,0,0,0,1,2,3,2,6, 1
16793,99.6,99.6,99.6,96,6,0,0,74,74.8,6,12,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,26.2,96, 49,99.6,0,0,0,2,2,3,1,6, 2
